Cluster ClusterRank deltaG deltaGelec deltaGvdw deltaGligsolvnonpol deltaGligsolvpol deltaGprotsolvnonpol deltaGprotsolvpol deltaGcompsolvnonpol deltaGcompsolvpol extraFull surfFull solvFull IntraFull InterFull FullFitness SimpleFitness Energy
0 0 -8.272612 0.0 -83.102 14.0003 -158.957 387.643 -2573.84 387.644 -2652.68 0.0 387.644 -2652.68 -28.0104 -83.102 -2376.1482 -24.6335 -24.6335
0 1 -8.272612 0.0 -83.102 14.0003 -158.957 387.643 -2573.84 387.644 -2652.68 0.0 387.644 -2652.68 -28.0104 -83.102 -2376.1482 -24.6335 -24.6335
0 2 -8.272612 0.0 -83.102 14.0003 -158.957 387.643 -2573.84 387.644 -2652.68 0.0 387.644 -2652.68 -28.0104 -83.102 -2376.1482 -24.6335 -24.6335
0 3 -8.208555 0.0 -82.322 13.9828 -158.784 387.643 -2573.84 387.558 -2652.56 0.0 387.558 -2652.56 -27.5056 -82.322 -2374.8296 -24.7032 -24.7032
0 4 -8.097001 0.0 -80.3402 13.9713 -159.666 387.643 -2573.84 387.616 -2654.79 0.0 387.616 -2654.79 -27.2422 -80.3402 -2374.7566 -24.5652 -24.5652
0 5 -8.097001 0.0 -80.3402 13.9713 -159.666 387.643 -2573.84 387.616 -2654.79 0.0 387.616 -2654.79 -27.2422 -80.3402 -2374.7566 -24.5652 -24.5652
0 6 -8.097001 0.0 -80.3402 13.9713 -159.666 387.643 -2573.84 387.616 -2654.79 0.0 387.616 -2654.79 -27.2422 -80.3402 -2374.7566 -24.5652 -24.5652
0 7 -8.097001 0.0 -80.3402 13.9713 -159.666 387.643 -2573.84 387.616 -2654.79 0.0 387.616 -2654.79 -27.2422 -80.3402 -2374.7566 -24.5652 -24.5652
1 0 -6.816402 0.0 -36.6939 13.6097 -154.001 387.643 -2573.84 390.873 -2701.26 0.0 390.873 -2701.26 -24.3028 -36.6939 -2371.3835 3.51018 3.51018
1 1 -6.816402 0.0 -36.6939 13.6097 -154.001 387.643 -2573.84 390.873 -2701.26 0.0 390.873 -2701.26 -24.3028 -36.6939 -2371.3835 3.51018 3.51018
1 2 -6.816402 0.0 -36.6939 13.6097 -154.001 387.643 -2573.84 390.873 -2701.26 0.0 390.873 -2701.26 -24.3028 -36.6939 -2371.3835 3.51018 3.51018
1 3 -6.81315 0.0 -36.4653 13.6221 -155.072 387.643 -2573.84 390.891 -2702.64 0.0 390.891 -2702.64 -22.7207 -36.4653 -2370.935 3.90265 3.90265
1 4 -6.81315 0.0 -36.4653 13.6221 -155.072 387.643 -2573.84 390.891 -2702.64 0.0 390.891 -2702.64 -22.7207 -36.4653 -2370.935 3.90265 3.90265
